,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
370,Ship3,6959241.0424063075,40430.20341713768,92,9.843,276,276,,3,
371,Ship4,6960492.151681669,42446.77023423508,92,7.497,46,46,,1,
372,Ship1,6959658.384227456,41160.799429645296,93,10.149,232,232,,18,
373,Ship2,6959404.714123315,41314.382972012034,93,6.426,161,161,,2,
374,Ship3,6959242.194944655,40420.428126637715,93,9.843,276,276,,3,
375,Ship4,6960497.3165879985,42452.20427063583,93,7.497,46,46,,1,
376,Ship1,6959652.16102519,41152.78232576938,94,10.149,232,232,,18,
377,Ship2,6959398.607926475,41316.384930089844,94,6.426,161,161,,2,
378,Ship3,6959243.356557644,40410.65391033854,94,9.843,276,276,,3,
379,Ship4,6960502.475687475,42457.64382039574,94,7.497,46,46,,1,
380,Ship1,6959645.985506668,41144.72843404038,95,10.149,232,232,,18,
381,Ship2,6959392.500663213,41318.3836325339,95,6.426,161,161,,2,
382,Ship3,6959244.526351431,40400.880669755476,95,9.843,276,276,,3,
383,Ship4,6960507.629409929,42463.08846490832,95,7.497,46,46,,1,
384,Ship1,6959639.857889352,41136.63803806538,96,10.149,233,233,,18,
385,Ship2,6959386.3924036175,41320.37928799204,96,6.426,161,161,,2,
386,Ship3,6959245.703520249,40391.10831473858,96,9.843,276,276,,3,
387,Ship4,6960512.778153783,42468.53781768915,96,7.497,46,46,,1,
388,Ship1,6959633.778389019,41128.51142273692,97,10.149,233,233,,18,
389,Ship2,6959380.283213076,41322.3720917771,97,6.426,161,161,,2,
390,Ship3,6959246.88733772,40381.336762907194,97,9.843,276,276,,3,
391,Ship4,6960517.922288283,42473.991521865544,97,7.497,46,46,,1,
392,Ship1,6959627.74721975,41120.34887422295,98,10.149,233,233,,18,
393,Ship2,6959374.173152608,41324.36222671425,98,6.426,161,161,,2,
394,Ship3,6959248.077149041,40371.56593909234,98,9.843,276,276,,3,
395,Ship4,6960523.062155585,42479.44924786812,98,7.497,46,46,,1,
396,Ship1,6959621.764593923,41112.15067995677,99,10.149,234,234,,18,
397,Ship2,6959368.062279161,41326.34986393512,99,6.426,162,162,,2,
398,Ship3,6959249.272363919,40361.7957747951,99,9.843,277,277,,3,
399,Ship4,6960528.198072694,42484.91069130759,99,7.497,46,46,,1,
400,Ship1,6959615.830722211,41103.91712862688,100,10.149,234,234,,18,
401,Ship2,6959361.950645898,41328.33516362201,100,6.426,162,162,,2,
402,Ship3,6959250.472450218,40352.02620766676,100,9.843,277,277,,3,
403,Ship4,6960533.330333279,42490.37557102101,100,7.497,46,46,,1,
